title,titleUrl,time,channel_name,channel_id,video_id,video_tag
Watched Did you know that Sokka changed Ty Lee? 😮 #avatarthelastairbender,https://www.youtube.com/watch?v=4lUsGFbUj4c,2024-03-18T10:46:22.870Z,Movie Jokes & Details with Mike,UCn6iykpOzitrJCaAnh3THAA,4lUsGFbUj4c,"['avatar the last airbender', 'avatar', 'the last airbender', 'atla', 'toph', 'aang', 'katara', 'netflix', 'avatar the last airbender netflix', 'netflix avatar the last airbender', 'ty lee', 'sokka']"
Watched Free Palestine 🇵🇸,https://www.youtube.com/watch?v=NOtXtUXdYYM,2024-03-18T10:45:53.660Z,Hamzah Saadah,UCMzw4_bJAwv1j5gUga6NPkQ,NOtXtUXdYYM,
Watched Bat Wash,https://www.youtube.com/watch?v=KScMsWavKn0,2024-03-18T10:45:27.672Z,Mr. Lee ASMR,UCU_06qjzuictUkp0Pyn1BGw,KScMsWavKn0,
Watched Eps.84 Calon DPR #tekatekikematian #short,https://www.youtube.com/watch?v=wzdQt7aiCWg,2024-03-18T10:45:02.949Z,GodBless,UCPLcRU-2RA6N_JFhJdUt-5A,wzdQt7aiCWg,"['pembunuhan indriana dewi', 'devara putri prananda', 'calon dpr menjadi otak pembunuhan indriana', 'kasus pembunuhan indriana dewi', 'kasus pembunuhan viral', 'teka teki kematian', 'misteri kematian', 'cinta segitiga berujung pembunuhan', 'pembunuhan akibat cinta segitiga', 'godbless']"
Watched Apakah ini bener?,https://www.youtube.com/watch?v=Q5Fr1zGdgq4,2024-03-18T10:44:43.221Z,Hero Miro,UCWGiDftnxqiONc262pPDYpA,Q5Fr1zGdgq4,
Watched FRIEREN FINALLY FLEXES HER TRUE POWER!!! 😱 (Frieren Beyond Journey's End),https://www.youtube.com/watch?v=o3C-LyANDgI,2024-03-18T10:43:50.887Z,CloudyCrow,UCAdQ-eQtOGD8XMjE6SnDJ1g,o3C-LyANDgI,"['cloudycrow', 'anime reaction', 'anime mashup', 'frieren beyond journeys end', 'freiren episode 10', 'frieren beyond journeys end reaction', 'frieren episode 10 reaction', 'frieren ep 10 reaction', 'frieren reaction', 'frieren fern', 'frieren', 'frieren reaction mashup', 'frieren cloudycrow reaction', 'cloudy crow', 'reaction']"
Watched Frieren is just way too RUTHLESS for that guy 💀 (Sousou no Frieren),https://www.youtube.com/watch?v=vGvsom5-lf0,2024-03-18T10:43:19.523Z,harissm,UC6bi-o0gusnxQK7W5B85dHQ,vGvsom5-lf0,"['HARISSM', 'Sousou no frieren', 'sousou no frieren episode 1', 'sousou no frieren episode 8', 'sousou no frieren episode 6', 'sousou no frieren episode 1 reaction', 'sousou no frieren episode 8 reaction', 'sousou no frieren episode 3 reaction', 'sousou no frieren episode 6 reaction', 'sousou no frieren ep 8 reaction', 'sousou no frieren reaction', ""frieren: beyond journey's end"", ""frieren: beyond journey's end reaction"", 'sousou no frieren harissm', 'frieren', 'fern', 'frieren fern', 'frieren fern stark', 'stark fern']"
Watched 葬送のフリーレン　ミニアニメ⑬「ラスボス　フリーレンの倒し方」|How to defeat Frieren,https://www.youtube.com/watch?v=MYEigYebI2Y,2024-03-18T08:25:50.179Z,CMaD,UCDkkMVs3hUrhM4gHKIusemg,MYEigYebI2Y,"['mimic', 'ミミック', 'フェルン', 'fern', 'feln']"
Watched Frieren: Beyond Journey's End - Episode 27 [Takarir Indonesia],https://www.youtube.com/watch?v=6jAqU-qnBro,2024-03-18T08:25:05.651Z,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,6jAqU-qnBro,"['フリーレン', 'frieren', 'Fantasy', 'Drama', 'yoasobi', 'tanezukiatsumi', 'muse', 'toho', 'Streaming', 'DiRumahAja']"
Watched EPISODE 143: PENEMUAN MENGEJUTKAN SAAT GALI MAKAM❗️,https://www.youtube.com/watch?v=BxTXp7EF8mw,2024-03-18T08:16:23.868Z,Dokter Stephanie,UCNylyhNWG_zKB2yw0l6nl9g,BxTXp7EF8mw,"['Forensik', 'Forensic', 'Forensics', 'Otopsi', 'Autopsy', 'Kisah Otopsi', 'Kisah Forensik', 'Kisah Forensik Dokter Stephanie', 'Kisah Otopsi Dokter Stephanie', 'Misteri', 'Cerita Misteri', 'Cerita Horor', 'Horor', 'Horror', 'Medis', 'Misterius', 'Sosok Gaib', 'Mistis', 'Cerita Mistis', 'Cerita Mistik', 'Cerita Forensik', 'Cerita Otopsi', 'Cerita Dari Ruang Otopsi', 'Exhumasi', 'Gali Kubur', 'Gali Makam', 'Janin Bayi', 'Janin dalam perut mayat', 'Gadis Remaja Hamil']"
