video_id,video_title,view_count,channel_name,channel_id,channel_url,time_record,video_tag
cIbwFCdWDYk,Mau Random Bentar!,83,ShinMei,UCahetHoMuR0j0EKLogexCIg,/@ShinMeii,2024-03-18 23:32:23.757362,[]
vZ96jD3jh1Q,Kenapa Eropa Pro LGBT banget? Padahal Dulu Paling Anti! Lupa Tragedi Masa Lalu? | LearningByGoogling,74374,Sepulang Sekolah,UCfQHaUbD0oEBH_FRYHE5qIg,/@SepulangSekolah,2024-03-18 23:32:23.757362,"['sepulang sekolah', 'koi', 'jui', 'SMA', 'pelajar', 'komedi', 'comedy', 'standup', 'web series', 'bogor', 'indonesia', 'belajar', 'learning by googling', 'learning by google', 'learning with google', 'koide', 'koide namizo', 'koiyocabe', 'koiyo cabe', 'koyocabe', 'koyo cabe', 'history', 'sejarah', 'budaya', 'culture', 'asia tenggara', 'south east asia', 'story telling', 'storytelling', 'penjelasan', 'eropa', 'pelangi', 'raindow', 'index rainbow', 'rainbows', 'index']"
ERy_1njKBfk,The Apothecary Diaries「AMV」- Nothing Stopping Me,255,Black Genius,UC7BlGHCAqBO9CZKqlg6Vphw,/@blackgen1us,2024-03-18 23:32:23.757362,"['anime', 'amv', 'the apothecary diaries', 'the apothecary diaries amv', 'kusuriya no hitorigoto', '薬屋のひとりごと', 'music', 'Kusuriya no Hitorigoto', 'The Apothecary Diaries', 'the apothecary diaries op', 'the apothecary diaries opening', 'the apothecary diaries ending', 'the apothecary diaries episode 24', 'kusuriya no hitorigoto episode 23', 'kusuriya no hitorigoto opening', 'kusuriya no hitorigoto amv', 'the apothecary diaries op full', 'the apothecary diaries op reaction', 'amv Sweater Weather', 'Nothing Stopping Me']"
1h1w876eIAo,MENDING AZKA KATOLIK SELAMANYA DARIPADA DEKET SAMA ONAD‼️- LOGIN - JAFAR - ONAD,631629,Deddy Corbuzier,UCYk4LJI0Pr6RBDWowMm-KUw,/@corbuzier,2024-03-18 23:32:23.757362,"['Login', 'Log in', 'Habib Jafar', 'Onad', 'Onadio Leonardo', 'Closethedoor', 'Login di closethedoor', 'Agama', 'Islam', 'Ramadhan', 'Lucu', 'Debat', 'Sahur', 'buka puasa', 'puasa', 'tarawih', 'Komedi', 'Comedy', 'Deddy Corbuzier', 'Corbuzier', 'Orang tua', 'religi', 'islam', 'kristen', 'muslim', 'gereja', 'anak', 'nada tarina', 'azka corbuzier', 'ibu', 'surga', 'neraka']"
k-Wk_hm2Aa4,"Kronologi lengkap, Kejanggalan & Teori2 menghilangnya KATE MIDDLETON. | #NERROR",218957,Nessie Judge,UC_SBt2BFBkExq_azj-P5lNA,/@NessieJudge,2024-03-18 23:32:23.757362,"['indonesian', 'vlog', 'vlogger', 'youtuber', 'nessie', 'judge', 'nessiejudge', 'nerror', 'teorikonspirasi', 'horror']"
6Zy-bJmSwS4,Kehidupan ke-7 Nona Antagonis - Episode 11 [Takarir Indonesia],185748,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,/@MuseIndonesia,2024-03-18 23:32:23.757362,"['ルプなな', '7thloop', 'villainess', 'fantasi', 'romansa', 'loop', 'muse', 'Anime', 'Gratis', 'DiRumahAja']"
yM9nzbzJNec,Sousou no Frieren Ep. 27 Emotional OST- Flower Field | COVER,7065,TaeIn Kim Music,UCO-CX5f2TOpRxeoi0Xi9C1A,/channel/UCO-CX5f2TOpRxeoi0Xi9C1A,2024-03-18 23:32:23.757362,"['sousou', 'sousou no frieren', 'frieren', 'frieren ost', 'sousou no frieren emotional ost', 'emotional ost', 'frieren emotional ost', 'frieren sad ost', 'frieren sad music', 'sousou no frieren 27', 'episode 27']"
4Spirny-NYI,The Apothecary Diaries Opening Full - Hana ni Natte (花になって) by Ryokuoushoku Shakai,3974307,MelodyHype - Anime Music Channel,UCc3JMneyZrxizM5yW0INsAA,/@melodyhype,2024-03-18 23:32:23.757362,[]
Q6_iuk6h_yQ,EPISODE 112: AKIBAT SEDOT LEMAK ILEGAL❗️KASUS NYATA❗️,60381,Dokter Stephanie,UCNylyhNWG_zKB2yw0l6nl9g,/@dokterstephanie,2024-03-18 23:32:23.757362,"['Forensik', 'Forensic', 'Forensics', 'Otopsi', 'Autopsy', 'Kisah Otopsi', 'Kisah Forensik', 'Kisah Forensik Dokter Stephanie', 'Kisah Otopsi Dokter Stephanie', 'Misteri', 'Cerita Misteri', 'Cerita Horor', 'Horor', 'Horror', 'Medis', 'Misterius', 'Sosok Gaib', 'Mistis', 'Cerita Mistis', 'Cerita Mistik', 'Cerita Forensik', 'Cerita Otopsi', 'Cerita Dari Ruang Otopsi', 'Sedot Lemak', 'Liposuction', 'Sedot Lemak Ilegal', 'Netizen']"
DMAbUnuxeTA,Sabaton -The Red Baron [FIRST TIME REACTION],243,Sohum,UCfhqkDIkopvh8dMx70Ej9og,/@Sohum,2024-03-18 23:32:23.757362,"['Sohum', 'Sohum Mehrotra', 'sohum reaction', 'reaction video', 'music reaction', 'music analysis', 'SABATON', 'sabaton', 'sabaton reaction', 'sabaton first time reaction', 'sabaton the red baron', 'sabaton the red baron reaction', 'sabaton red baron', 'sabaton red baron reaction', 'the red baron reaction', 'the red baron first time reaction', 'red baron sabaton', 'red baron sabaton reaction', 'red baron sabaton first time reaction', 'the red baron sabaton', 'the red baron sabaton reaction']"
